split,folder,filename,path,magnification,YS,UTS,EL,E,k,n
Test-Seen,CS10-1000,"(CS10-1000--S10-11, 43).jpg","data/Test-Seen/CS10-1000/(CS10-1000--S10-11, 43).jpg",1000,178,226,2.13,38,408.53,0.13
Test-Seen,CS10-1500,"(CS10-1500--S10-18, 44).jpg","data/Test-Seen/CS10-1500/(CS10-1500--S10-18, 44).jpg",1500,178,226,2.13,38,408.53,0.13
Test-Seen,CS10-2000,"(CS10-2000--S10-12 (2), 45).jpg","data/Test-Seen/CS10-2000/(CS10-2000--S10-12 (2), 45).jpg",2000,178,226,2.13,38,408.53,0.13
Test-Seen,CS10-2000,"(CS10-2000--S10-21, 45).jpg","data/Test-Seen/CS10-2000/(CS10-2000--S10-21, 45).jpg",2000,178,226,2.13,38,408.53,0.13
Test-Seen,PL03-0500,IBCF3-L-13.jpg,data/Test-Seen/PL03-0500/IBCF3-L-13.jpg,500,177,299,4.79,47,552.21,0.175
Test-Seen,PL03-1000,IBCF3-L-15.jpg,data/Test-Seen/PL03-1000/IBCF3-L-15.jpg,1000,177,299,4.79,47,552.21,0.175
Test-Seen,PL13-0500,IBCF13-L-02.jpg,data/Test-Seen/PL13-0500/IBCF13-L-02.jpg,500,183,252,2.22,47,523.37,0.167
Test-Seen,PL13-1000,IBCF13-L-08.jpg,data/Test-Seen/PL13-1000/IBCF13-L-08.jpg,1000,183,252,2.22,47,523.37,0.167
Test-Seen,PL13-1000,IBCF13-L-17.jpg,data/Test-Seen/PL13-1000/IBCF13-L-17.jpg,1000,183,252,2.22,47,523.37,0.167
Test-Seen,PL16-0500,IBCF16-L-21.jpg,data/Test-Seen/PL16-0500/IBCF16-L-21.jpg,500,202,280,4.21,40,450.07,0.122
Test-Seen,PL16-1000,IBCF16-L-20.jpg,data/Test-Seen/PL16-1000/IBCF16-L-20.jpg,1000,202,280,4.21,40,450.07,0.122
Test-Seen,PM03-0500,IBCF3-M-03.jpg,data/Test-Seen/PM03-0500/IBCF3-M-03.jpg,500,216,335,6.9,49,540.69,0.148
Test-Seen,PM11-0500,IBCF11-M-18.jpg,data/Test-Seen/PM11-0500/IBCF11-M-18.jpg,500,197,306,10.01,46,458.93,0.132
Test-Seen,PM11-1000,IBCF11-M-15.jpg,data/Test-Seen/PM11-1000/IBCF11-M-15.jpg,1000,197,306,10.01,46,458.93,0.132
Test-Seen,PM11-1000,IBCF11-M-20.jpg,data/Test-Seen/PM11-1000/IBCF11-M-20.jpg,1000,197,306,10.01,46,458.93,0.132
Test-Seen,PM13-0500,IBCF13-M-05.jpg,data/Test-Seen/PM13-0500/IBCF13-M-05.jpg,500,227,311,6.31,41,450.83,0.102
Test-Seen,PM13-0500,IBCF13-M-09.jpg,data/Test-Seen/PM13-0500/IBCF13-M-09.jpg,500,227,311,6.31,41,450.83,0.102
Test-Seen,PM13-1000,IBCF13-M-14.jpg,data/Test-Seen/PM13-1000/IBCF13-M-14.jpg,1000,227,311,6.31,41,450.83,0.102
Test-Seen,PM13-2000,IBCF13-M-04.jpg,data/Test-Seen/PM13-2000/IBCF13-M-04.jpg,2000,227,311,6.31,41,450.83,0.102
Test-Seen,PM16-0500,IBCF16-M-16.jpg,data/Test-Seen/PM16-0500/IBCF16-M-16.jpg,500,230,305,4.67,44,444.03,0.098
Test-Seen,PM16-1000,IBCF16-M-09.jpg,data/Test-Seen/PM16-1000/IBCF16-M-09.jpg,1000,230,305,4.67,44,444.03,0.098
Test-Seen,PM16-2000,IBCF16-M-18.jpg,data/Test-Seen/PM16-2000/IBCF16-M-18.jpg,2000,230,305,4.67,44,444.03,0.098
Test-Seen,PS11-0500,IBCF11-S-21.jpg,data/Test-Seen/PS11-0500/IBCF11-S-21.jpg,500,183,299,10.84,46,454.92,0.14
Test-Seen,PS11-1000,IBCF11-S-08.jpg,data/Test-Seen/PS11-1000/IBCF11-S-08.jpg,1000,183,299,10.84,46,454.92,0.14
Test-Seen,PS11-2000,IBCF11-S-17.jpg,data/Test-Seen/PS11-2000/IBCF11-S-17.jpg,2000,183,299,10.84,46,454.92,0.14
Test-Seen,PS16-0500,IBCF16-S-02.jpg,data/Test-Seen/PS16-0500/IBCF16-S-02.jpg,500,216,307,7.24,45,448.66,0.11
Test-Seen,PS16-1000,IBCF16-S-19.jpg,data/Test-Seen/PS16-1000/IBCF16-S-19.jpg,1000,216,307,7.24,45,448.66,0.11
Test-Seen,PS16-2000,IBCF16-S-07.jpg,data/Test-Seen/PS16-2000/IBCF16-S-07.jpg,2000,216,307,7.24,45,448.66,0.11
Test-Unseen,CM06-0500,CM06-0500--M6-0810).jpg,data/Test-Unseen/CM06-0500/CM06-0500--M6-0810).jpg,500,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-1000,CM06-1000--M6-10.jpg,data/Test-Unseen/CM06-1000/CM06-1000--M6-10.jpg,1000,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-1000,CM06-1000--M6-13.jpg,data/Test-Unseen/CM06-1000/CM06-1000--M6-13.jpg,1000,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-1500,CM06-1500--M6-0.jpg,data/Test-Unseen/CM06-1500/CM06-1500--M6-0.jpg,1500,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-1500,CM06-1500--M6-09.jpg,data/Test-Unseen/CM06-1500/CM06-1500--M6-09.jpg,1500,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-1500,CM06-1500--M6-1.jpg,data/Test-Unseen/CM06-1500/CM06-1500--M6-1.jpg,1500,223,302,4.28,43,466.38,0.115
Test-Unseen,CM06-2000,CM06-2000--M6-0.jpg,data/Test-Unseen/CM06-2000/CM06-2000--M6-0.jpg,2000,223,302,4.28,43,466.38,0.115
Test-Unseen,CS04-1000,CS04-1000--S4-11.jpg,data/Test-Unseen/CS04-1000/CS04-1000--S4-11.jpg,1000,148,210,3.49,37,365.45,0.143
Test-Unseen,CS06-0500,CS06-0500--S6-0.jpg,data/Test-Unseen/CS06-0500/CS06-0500--S6-0.jpg,500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-0500,CS06-0500--S6-02.jpg,data/Test-Unseen/CS06-0500/CS06-0500--S6-02.jpg,500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-0500,CS06-0500--S6-12.jpg,data/Test-Unseen/CS06-0500/CS06-0500--S6-12.jpg,500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-0500,CS06-0500--S6-17.jpg,data/Test-Unseen/CS06-0500/CS06-0500--S6-17.jpg,500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-0500,CS06-0500--S6.jpg,data/Test-Unseen/CS06-0500/CS06-0500--S6.jpg,500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1000,CS06-1000--S6-03 (2).jpg,data/Test-Unseen/CS06-1000/CS06-1000--S6-03 (2).jpg,1000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1000,CS06-1000--S6-07 (2).jpg,data/Test-Unseen/CS06-1000/CS06-1000--S6-07 (2).jpg,1000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1000,CS06-1000--S6-13.jpg,data/Test-Unseen/CS06-1000/CS06-1000--S6-13.jpg,1000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1000,CS06-1000--S6-18.jpg,data/Test-Unseen/CS06-1000/CS06-1000--S6-18.jpg,1000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1500,CS06-1500--S6-08 (2).jpg,data/Test-Unseen/CS06-1500/CS06-1500--S6-08 (2).jpg,1500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-1500,CS06-1500--S6-16.jpg,data/Test-Unseen/CS06-1500/CS06-1500--S6-16.jpg,1500,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-2000,CS06-2000--S6-04 (2).jpg,data/Test-Unseen/CS06-2000/CS06-2000--S6-04 (2).jpg,2000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-2000,CS06-2000--S6-09 (2).jpg,data/Test-Unseen/CS06-2000/CS06-2000--S6-09 (2).jpg,2000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-2000,CS06-2000--S6-14.jpg,data/Test-Unseen/CS06-2000/CS06-2000--S6-14.jpg,2000,198,258,2.75,42,428.76,0.12
Test-Unseen,CS06-2000,CS06-2000--S6-19.jpg,data/Test-Unseen/CS06-2000/CS06-2000--S6-19.jpg,2000,198,258,2.75,42,428.76,0.12
Test-Unseen,PM03-1500,IBCF3-M-18.jpg,data/Test-Unseen/PM03-1500/IBCF3-M-18.jpg,1500,216,335,6.9,49,540.69,0.148
Test-Unseen,PS13-0500,IBCF13-S-02.jpg,data/Test-Unseen/PS13-0500/IBCF13-S-02.jpg,500,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-0500,IBCF13-S-05.jpg,data/Test-Unseen/PS13-0500/IBCF13-S-05.jpg,500,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-0500,IBCF13-S-08.jpg,data/Test-Unseen/PS13-0500/IBCF13-S-08.jpg,500,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-1000,IBCF13-S-03.jpg,data/Test-Unseen/PS13-1000/IBCF13-S-03.jpg,1000,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-1500,IBCF13-S-09.jpg,data/Test-Unseen/PS13-1500/IBCF13-S-09.jpg,1500,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-1500,IBCF13-S-10.jpg,data/Test-Unseen/PS13-1500/IBCF13-S-10.jpg,1500,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-2000,IBCF13-S-04.jpg,data/Test-Unseen/PS13-2000/IBCF13-S-04.jpg,2000,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-2000,IBCF13-S-06.jpg,data/Test-Unseen/PS13-2000/IBCF13-S-06.jpg,2000,208,311,6.37,38,485.18,0.125
Test-Unseen,PS13-2000,IBCF13-S-11.jpg,data/Test-Unseen/PS13-2000/IBCF13-S-11.jpg,2000,208,311,6.37,38,485.18,0.125
